=== index crawl start 16:45:43 ===
16:46:03 [index@0] 60/95 ok=60 missing=0 failed=0
16:46:13 [index@0] 95/95 ok=95 missing=0 failed=0
16:46:32 [index@1200] 60/100 ok=60 missing=0 failed=0
16:46:45 [index@1200] 100/100 ok=100 missing=0 failed=0
16:47:05 [index@2400] 60/100 ok=60 missing=0 failed=0
16:47:19 [index@2400] 100/100 ok=100 missing=0 failed=0
16:47:39 [index@3600] 60/100 ok=60 missing=0 failed=0
16:47:52 [index@3600] 100/100 ok=100 missing=0 failed=0
16:48:13 [index@4800] 60/100 ok=60 missing=0 failed=0
16:48:26 [index@4800] 100/100 ok=100 missing=0 failed=0
16:48:47 [index@6000] 60/100 ok=60 missing=0 failed=0
16:49:01 [index@6000] 100/100 ok=100 missing=0 failed=0
16:49:22 [index@7200] 60/100 ok=60 missing=0 failed=0
16:49:36 [index@7200] 100/100 ok=100 missing=0 failed=0
16:49:58 [index@8400] 60/100 ok=60 missing=0 failed=0
16:50:14 [index@8400] 100/100 ok=100 missing=0 failed=0
16:50:37 [index@9600] 60/100 ok=60 missing=0 failed=0
16:50:52 [index@9600] 100/100 ok=100 missing=0 failed=0
16:51:15 [index@10800] 60/100 ok=60 missing=0 failed=0
16:51:32 [index@10800] 100/100 ok=100 missing=0 failed=0
16:51:59 [index@12000] 60/100 ok=60 missing=0 failed=0
16:52:15 [index@12000] 100/100 ok=100 missing=0 failed=0
16:52:33 [index@13200] 60/100 ok=60 missing=0 failed=0
16:52:45 [index@13200] 100/100 ok=100 missing=0 failed=0
16:53:06 [index@14400] 60/100 ok=60 missing=0 failed=0
16:53:18 [index@14400] 100/100 ok=100 missing=0 failed=0
index stats: {'ok': 1295, 'missing': 0, 'failed': 0}
=== max report id = 14329 ===
=== report crawl start 16:53:19 ===
16:53:32 [reports] 60/14318 ok=20 missing=40 failed=0
16:53:45 [reports] 120/14318 ok=64 missing=56 failed=0
16:53:57 [reports] 180/14318 ok=101 missing=79 failed=0
16:54:11 [reports] 240/14318 ok=148 missing=92 failed=0
16:54:25 [reports] 300/14318 ok=198 missing=102 failed=0
16:54:38 [reports] 360/14318 ok=251 missing=109 failed=0
16:54:51 [reports] 420/14318 ok=296 missing=124 failed=0
16:55:05 [reports] 480/14318 ok=350 missing=130 failed=0
16:55:18 [reports] 540/14318 ok=406 missing=134 failed=0
16:55:32 [reports] 600/14318 ok=464 missing=136 failed=0
16:55:46 [reports] 660/14318 ok=523 missing=137 failed=0
16:56:00 [reports] 720/14318 ok=575 missing=145 failed=0
16:56:13 [reports] 780/14318 ok=629 missing=151 failed=0
16:56:27 [reports] 840/14318 ok=683 missing=157 failed=0
16:56:40 [reports] 900/14318 ok=738 missing=162 failed=0
16:56:53 [reports] 960/14318 ok=793 missing=167 failed=0
16:57:08 [reports] 1020/14318 ok=849 missing=171 failed=0
16:57:21 [reports] 1080/14318 ok=901 missing=179 failed=0
16:57:34 [reports] 1140/14318 ok=943 missing=197 failed=0
16:57:47 [reports] 1200/14318 ok=997 missing=203 failed=0
16:58:01 [reports] 1260/14318 ok=1053 missing=207 failed=0
16:58:14 [reports] 1320/14318 ok=1105 missing=215 failed=0
16:58:28 [reports] 1380/14318 ok=1149 missing=231 failed=0
16:58:42 [reports] 1440/14318 ok=1200 missing=240 failed=0
16:58:56 [reports] 1500/14318 ok=1257 missing=243 failed=0
16:59:10 [reports] 1560/14318 ok=1316 missing=244 failed=0
16:59:22 [reports] 1620/14318 ok=1367 missing=253 failed=0
16:59:35 [reports] 1680/14318 ok=1427 missing=253 failed=0
16:59:48 [reports] 1740/14318 ok=1478 missing=262 failed=0
17:00:02 [reports] 1800/14318 ok=1530 missing=270 failed=0
17:00:16 [reports] 1860/14318 ok=1585 missing=275 failed=0
17:00:29 [reports] 1920/14318 ok=1638 missing=282 failed=0
17:00:43 [reports] 1980/14318 ok=1692 missing=288 failed=0
17:00:55 [reports] 2040/14318 ok=1748 missing=292 failed=0
17:01:08 [reports] 2100/14318 ok=1802 missing=298 failed=0
17:01:21 [reports] 2160/14318 ok=1856 missing=304 failed=0
17:01:34 [reports] 2220/14318 ok=1912 missing=308 failed=0
17:01:47 [reports] 2280/14318 ok=1967 missing=313 failed=0
17:02:01 [reports] 2340/14318 ok=2021 missing=319 failed=0
17:02:13 [reports] 2400/14318 ok=2073 missing=327 failed=0
17:02:27 [reports] 2460/14318 ok=2132 missing=328 failed=0
17:02:40 [reports] 2520/14318 ok=2187 missing=333 failed=0
17:02:54 [reports] 2580/14318 ok=2242 missing=338 failed=0
