lake,town,lat,lon,reports,uncertain,confirmed,note
JerMar Lake,Van Alstyne,33.4215,-96.57721,606,0,,
Six O Ranch,Cleburne,32.34764,-97.38668,583,0,,
Triple J Ranch,Ferris,32.5418,-96.67499,516,0,,
Timber Lake,Sulphur Bluff,33.33261,-95.39828,501,0,,
Malouf Lake,Lancaster,32.6318,-96.67027,499,0,,
Double A Lake,Wills Point,32.73013,-96.01191,459,0,,
Hickory Creek Ranch Lakes,Crockett,31.31824,-95.45661,411,0,,
BlackJack Ranch,Giddings,30.18272,-96.93637,396,0,,
Twin Lakes,Ben Wheeler,32.44597,-95.70385,389,0,,
Post Oak Lake,Bryan,30.67436,-96.36996,385,1,yes,"Brazos County, Texas - directions"
Lago Escondido,Castroville,29.34306,-98.84826,355,0,,
Pecan Gap,Gainesville,33.62594,-97.13335,345,0,,
Bluebonnet Ridge,Ennis,32.32798,-96.66425,335,0,,
Rock Chimney,La Grange,29.9055,-96.87665,332,0,,
Hat and Star Ranch,Gilmer,32.72875,-94.94244,315,0,,
Deer Trail Ranch,Sulphur Bluff,33.33261,-95.39828,313,0,,
Pecan Springs Ranch,Waxahachie,32.40348,-96.86028,311,0,,
Waterboo Lake: Bedrock Ranch,Decatur,33.23428,-97.58614,307,0,,
Nix Ranch: Lake TCU,Tioga,33.46678,-96.91834,289,0,,
The Bluffs of Sandy Shores,Terrell,32.80013,-96.29192,270,0,,
Sandy Creek Ranch,Winnsboro,32.95734,-95.29022,269,0,,
Kickapoo Lake,Canton,32.55652,-95.8633,267,0,,
MK Ranch,Athens,32.20487,-95.85552,263,0,,
Lake Side,Martins Mill,32.41625,-95.79024,253,0,,
Salt Lick Lake,Wills Point,32.73013,-96.01191,253,0,,
Black Hat,Leonard,33.37955,-96.24748,235,1,yes,"Fannin County, Texas - club cluster"
Acker Lake,Coalgate,34.53815,-96.21861,232,0,,
SW Lake,Weston,33.34900,-96.66944,229,1,yes,"Collin County, Texas - club cluster"
Angel Lake,Abbott,31.88488,-97.07334,228,0,,
Bennett Lake,Grapeland,31.49185,-95.47856,206,0,,
Frannies Lake,Emory,32.87457,-95.76552,202,0,,
Northeast Lake,Athens,32.20487,-95.85552,200,0,,
Five Finger Springs,Wills Point,32.73013,-96.01191,193,0,,
Travis Lake,Whitesboro,33.65622,-96.90695,191,0,,
Culpepper Farms,Denison,33.75566,-96.53666,187,0,,
Hidden Springs Ranch,Laneville,31.97433,-94.81383,181,0,,
Twin Oaks,Thorndale,30.61381,-97.20555,178,0,,
Beaver Lake,Decatur,33.23428,-97.58614,176,0,,
Tara Lake,Muenster,33.65177,-97.37641,174,0,,
Grain Bin Lake,Seagoville,32.63958,-96.53832,173,0,,
Brushy Creek Lake,Kyle,29.98911,-97.87723,171,1,yes,"Hays County, Texas - club cluster"
9G Ranch,Tom Bean,33.52011,-96.48387,168,0,,
Bremmond,Thorndale,30.61381,-97.20555,166,0,,
Yates Place,Longbranch,32.07290,-94.56800,164,1,yes,"Panola County, TX - your call"
Briar Branch,Decatur,33.23428,-97.58614,163,0,,
Cassidy Farms,Fairfield,31.72461,-96.16525,162,0,,
Hill Country Ranch,Tarpley,29.65717,-99.27643,158,0,,
Dogwood Lakes Estate: East Lake,Henderson,32.15322,-94.79938,155,1,yes,"Rusk County, Texas - club cluster"
Waco Creek Ranch,San Saba,31.19572,-98.7181,151,0,,
Indian Hollow Ranch,Boswell,34.02732,-95.86914,151,0,,
Waelder Heartbrand Ranch,Waelder,29.69523,-97.2986,151,0,,
Flying J,Sherman,33.63566,-96.60888,146,0,,
Trinity Lakes,Covington,32.17848,-97.25807,144,1,yes,"Hill County, Texas - club cluster"
Bridle Oaks Ranch,Bartlett,30.79491,-97.42556,142,1,yes,"Williamson County, Texas - club cluster"
Backside of the Moon Lake,Bowie,33.55900,-97.84865,141,1,yes,"Montague County, Texas - club cluster"
Blue Rock Lake,Wills Point,32.73013,-96.01191,141,0,,
Masagana Farms,Celina,33.32456,-96.78444,139,0,,
Tear Drop Lakes,Ennis,32.32798,-96.66425,135,0,,
Signal Ranch,Cash,32.99456,-96.10803,132,0,,
Live Oak Creek,Valley Mills,31.65933,-97.47224,131,0,,
Alysha Ranch,Clarksville,32.52959,-94.90299,130,0,,
Gallant Elm Creek Ranch,Medina,29.79661,-99.24643,126,1,yes,"Bandera County, Texas - club cluster"
Long Lake,Wills Point,32.73013,-96.01191,119,0,,
Dogwood Lakes Estate: West Lake,Henderson,32.15322,-94.79938,116,1,yes,"Rusk County, Texas - club cluster"
Little A Lake,Wills Point,32.73013,-96.01191,116,0,,
Moonshine Lake,Walnut Springs,32.05765,-97.74947,108,1,yes,"Bosque County, Texas - club cluster"
Legacy Oak Ranch,Davilla,30.78575,-97.275,105,0,,
K Bar Ranch,Dickinson,29.46079,-95.05132,100,0,,
Indian Hills Farms,Smithville,30.00855,-97.15943,96,0,,
Lee Lake,Hamilton,31.70377,-98.12392,95,0,,
Cordo Lake,Ladonia,33.42483,-95.94636,94,0,,
Lake Leinweber,Dunlay,29.34857,-98.99059,89,0,,
Fox Lake,Burnet,30.75824,-98.22836,88,1,yes,"Burnet County, Texas - club cluster"
Julian Lake,Leesburg,32.98762,-95.08383,87,0,,
Jones Lake,Clarksville,32.52959,-94.90299,86,0,,
Toby Lake,Bray,34.63786,-97.81753,86,0,,
Rough Creek Lodge,Glen Rose,32.23459,-97.75531,84,0,,
Lake Encino,Dunlay,29.34857,-98.99059,81,0,,
Azalea Ranch,Ben Wheeler,32.44597,-95.70385,81,0,,
Indian Cave: La Roca Range,Santo,32.60319,-98.21532,80,0,,
Boatwright Lake,Kennard,31.35963,-95.18327,75,0,,
Harrison Ranch,Grand Saline,32.67346,-95.70941,75,0,,
Slaughter Lake,Henrietta,33.81732,-98.19532,73,0,,
Red Hollow Lake,Whitt,32.95623,-98.01893,72,0,,
The Jordan,Canton,32.55652,-95.8633,70,0,,
Sand Pit,Silsbee,30.3491,-94.17796,70,0,,
Shady Grove,Pattonville,33.57927,-95.39217,69,0,,
Spence Lake,Ennis,32.32798,-96.66425,66,0,,
Spaeth Lake,Lindsay,33.63594,-97.22279,65,0,,
Hudson Lake,Palestine,31.76212,-95.63079,64,1,yes,"Anderson County, Texas - club cluster"
Dogleg Ranch,Bandera,29.72661,-99.07365,64,1,yes,"Bandera County, Texas - club cluster"
Crossroads Ranch,Bonham,33.54677,-96.15025,62,0,,
Heartbrand Ranch,,,,61,0,,
Hart Lakes,Coalgate,34.53815,-96.21861,59,0,,
Butler Lake,Brenham,30.16688,-96.39774,59,0,,
